Material;Amount;Unit
Aluminum (foil);0.0386;kg
Nickel;0.122817198;kg
Cobalt;0.041108096;kg
Manganese;0.038336004;kg
Lithium;0.024205096;kg
Copper (foil);0.099616;kg
Graphite;0.20412;kg
Aluminum;0;kg
Plastics;0.0271265;kg
Electrolyte;0.1356;kg
Steel;0;kg
Others;0.141673606;kg
