lci_id;direction;influencer;influenced;qty;unit
route3;input;Manganese;Limestone (CaO);-0.0006360844552885396;kg
route3;input;Manganese;Sand (SiO2);0.0007297166685579217;kg
route3;input;Manganese;Oxygen;0.0008710861109488683;kg
route3;input;Manganese;Sulfuric acid (95%);313629.3119460246;kg
route3;input;Manganese;Water;-0.011153390959801758;kg
route3;input;Manganese;Iron;-0.0;kg
route3;input;Manganese;Hydrogen peroxide;2007647223.6134355;kg
route3;input;Manganese;Sodium hydroxide;0.004649336551077737;kg
route3;input;Manganese;Kerosene;76892.2126893466;kg
route3;input;Manganese;Cyanex 272 ;34601.49570921206;kg
route3;input;Manganese;D2EHPA;-6.057198453904548e-07;kg
route3;input;Manganese;Sodium carbonate;-0.0;kg
route3;input;Manganese;Water;-0.0011148256709773109;kg
route3;input;Manganese;Electricity;-26372877054.490883;kg
route3;input;Manganese;Natural gas;0.44961446248659837;kg
route3;output;Manganese;Electricity;-0.0;kg
route3;output;Manganese;Aluminium;-0.0;kg
route3;output;Manganese;Steel;-0.0;kg
route3;output;Manganese;Copper;-0.0;kg
route3;output;Manganese;Electronic waste;-0.0;kg
route3;output;Manganese;Cable;-0.0;kg
route3;output;Manganese;Waste (incineration);0.0006630208810110154;kg
route3;output;Manganese;Iron hydroxide Fe(OH)3;-0.0;kg
route3;output;Manganese;Kerosene;76892.2126893466;kg
route3;output;Manganese;Cyanex 272;32953.80543754755;kg
route3;output;Manganese;NiSO4 * 6 H2O;0.008918129691087278;kg
route3;output;Manganese;CoSO4 * 7 H2O;0.0006615206390441357;kg
route3;output;Manganese;Wastewater;-0.025238103834590124;kg
route3;output;Manganese;Calcium sulfate;-0.0017812963169421083;kg
route3;output;Manganese;Silicon;0.0022877206939665327;kg
route3;output;Manganese;Aluminium hydroxide;-0.0;kg
route3;output;Manganese;D2EHPA;-3.8028541362126866e-07;kg
route3;output;Manganese;MnSO4 * 1 H2O;0.0056977086204065145;kg
route3;output;Manganese;Li2CO3 (anhydrous);-0.0;kg
route3;output;Manganese;Water;2007960852.9397407;kg
route3;output;Manganese;Wastewater;2007960852.9542894;kg
