Material;Amount;Unit;Link
Aluminum;0.602;kg;
Steel;0.843;kg;http://data.europa.eu/xsp/cn2024/850490130080
Plastics;0.1191;kg;
Electronic components;0.046;kg;
Cell;p;unit;
